Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
5.1,Organize,,,,,,,,
5.1.1,,Establish and Maintain Unity of Effort with Mission Partners,,,,,,,
5.1.1.1,,,Cultivate Relations with Mission Partners ,,,,,,
5.1.1.2,,,Cultivate Coordination with Partner Organizations ,,,,,,
5.1.2,,Structure Organization to Mission,,,,,,,
5.1.2.1,,,Define Structure ,,,,,,
5.1.2.2,,,Assess Capabilities ,,,,,,
5.1.2.3,,,Assign Roles and Responsibilities ,,,,,,
5.1.2.4,,,Integrate Capabilities ,,,,,,
5.1.2.5,,,Establish Commanders? Expectations ,,,,,,
5.1.3,,Foster Organizational Collaboration,,,,,,,
5.1.3.1,,,Establish Collaboration Policies ,,,,,,
5.1.3.2,,,Establish Collaborative Procedures ,,,,,,
5.2,Understand,,,,,,,,
5.2.1,,Organize Information,,,,,,,
5.2.1.1,,,Compile Information ,,,,,,
5.2.1.2,,,Distill Information ,,,,,,
5.2.1.3,,,Disemminate Information ,,,,,,
5.2.2,,Develop Knowledge and Situational Awareness ,,,,,,,
5.2.2.1,,,Understand Implications ,,,,,,
5.2.2.2,,,Analyze Information ,,,,,,
5.2.2.3,,,Define Knowledge Structure ,,,,,,
5.2.3,,Share Knowledge and Situational Awareness ,,,,,,,
5.2.3.1,,,Define Associated Community ,,,,,,
5.2.3.2,,,Establish Collective Meaning (Collaboration),,,,,,
5.2.3.3,,,Prepare Distributable Context ,,,,,,
5.3,Planning,,,,,,,,
5.3.1,,Analyze problem ,,,,,,,
5.3.1.1,,,Analyze Situation ,,,,,,
5.3.1.2,,,Document Problem Elements ,,,,,,
5.3.2,,Apply Situational Understanding,,,,,,,
5.3.2.1,,,Evaluate Operational Environment ,,,,,,
5.3.2.2,,,Determine Vulnerabilities ,,,,,,
5.3.2.3,,,Determine Opportunities ,,,,,,
5.3.3,,Develop Strategy,,,,,,,
5.3.3.1,,,Determine End State ,,,,,,
5.3.3.2,,,Develop Assumptions ,,,,,,
5.3.3.3,,,Develop Objectives ,,,,,,
5.3.4,,Develop Courses of Action,,,,,,,
5.3.4.1,,,Assess Available Capabilities ,,,,,,
5.3.4.2,,,Understand Objectives  ,,,,,,
5.3.4.3,,,Develop Options  ,,,,,,
5.3.5,,Analyze Course of Action,,,,,,,
5.3.5.1,,,Establish Selection Criteria ,,,,,,
5.3.5.2,,,Evaluate Courses of Actions ,,,,,,
5.4,Decide,,,,,,,,
5.4.1,,Manage Risk ,,,,,,,
5.4.2,,Select Actions,,,,,,,
5.4.2.1,,,Select Course of Action ,,,,,,
5.4.2.2,,,Select Plan ,,,,,,
5.4.3,,Establish Rule Sets ,,,,,,,
5.4.4,,Establish Intent and Guidance,,,,,,,
5.4.5,,Intuit,,,,,,,
5.5,Direct,,,,,,,,
5.5.1,,Communicate Intent and Guidance ,,,,,,,
5.5.1.1,,,Issue Estimates ,,,,,,
5.5.1.2,,,Issue Priorities ,,,,,,
5.5.1.3,,,Issue Rule Sets ,,,,,,
5.5.1.4,,,Provide CONOPS ,,,,,,
5.5.1.5,,,Provide Warnings ,,,,,,
5.5.1.6,,,Issues Alerts,,,,,,
5.5.2,,Task,,,,,,,
5.5.2.1,,,Synchronize Operations ,,,,,,
5.5.2.2,,,Issue Plans ,,,,,,
5.5.2.3,,,Issue Orders ,,,,,,
5.5.3,,Establish Metrics,,,,,,,
5.5.3.1,,,Establish Measures of Performance,,,,,,
5.5.3.2,,,Establish Measures of Effectiveness ,,,,,,
5.6,Monitor,,,,,,,,
5.6.1,,Assess Compliance with Guidance ,,,,,,,
5.6.1.1,,,Assess Employment of Forces ,,,,,,
5.6.1.2,,,Assess Manner of Employment ,,,,,,
5.6.2,,Assess Effects ,,,,,,,
5.6.3,,Assess Achievement of Objectives,,,,,,,
5.6.4,,Assess Guidance,,,,,,,
6,Net-Centric,,,,,,,,
6.1,Information Transport (IT) ,,,,,,,,
6.1.1,,Wired Transmission ,,,,,,,
6.1.1.1,,,Localized Communications ,,,,,,
6.1.1.2,,,Long-Haul Telecommunications ,,,,,,
6.1.2,,Wireless Transmission ,,,,,,,
6.1.2.1,,,Line of Sight ,,,,,,
6.1.2.2,,,Beyond Line of Sight,,,,,,
